optimizer,seed,task,epret,eplen,rstep,obs_delay_mean,act_delay_mean,actor_dorm,value_dorm
cpr,0,38,533.7173976898193,181.34724617004395,2.940346911549568,1.4999726936221123,2.9999581277370453,10.026041865348816,46.477359771728516
cpr,0,39,932.1490295410156,253.55320434570314,3.6860593795776366,0.5002151697874069,3.5001211404800414,11.111111640930176,46.68227767944336
cbp,0,0,96.35768254597981,83.31006240844727,1.1719491581122081,3.500385800997416,2.499766925970713,0.0,2.010148232181867
cbp,0,1,153.71769169398718,102.83042962210519,1.5061895932470049,2.0006082313401357,3.4999823229653493,0.7936508314950126,10.69476910999843
cbp,0,2,197.82361857096353,120.61114120483398,1.648243914047877,2.500192940235138,2.5003819863001504,1.4467593332131703,10.382513364156088
cbp,0,3,199.79661976207387,119.67584644664417,1.6822720982811668,3.0000042481855913,3.500207229094072,3.345959706739946,12.163792089982467
cbp,0,4,211.26192474365234,121.95908164978027,1.7401817440986633,2.4992095629374185,1.50089693069458,3.5300927559534707,11.605516195297241
cbp,0,5,236.05565296519887,129.7223039106889,1.8324029012159868,1.4996805407784202,1.5008600841869006,3.535353660583496,12.390887520530008
cbp,0,6,286.107182820638,145.21521504720053,1.9769860009352367,0.49992456038792926,1.5003327826658885,4.1666669845581055,12.55529491106669
cbp,0,7,250.66953923152045,135.98425997220554,1.8516318522966826,1.9991158063595111,2.9996968782865086,4.1666669845581055,12.48423664386456
cbp,0,8,286.69980093149036,144.5991668701172,1.9888073481046236,2.000378049336947,1.4998740599705622,4.1666669845581055,13.871373836810772
cbp,0,9,224.01056377704327,123.37697073129507,1.8251604116879976,3.5001166600447435,2.99989285835853,4.113248164837177,17.312195117657
cbp,0,10,235.6978266789363,127.02493110069862,1.8657701382270226,3.5000423101278453,2.4999871804164004,3.899572885953463,21.05326271057129
cbp,0,11,277.6403573843149,135.70081857534555,2.0522904762854943,2.4998369216918945,1.4999284285765428,3.472222328186035,20.236593099740837
cbp,0,12,297.9352527965199,147.78904169256037,2.021513483741067,1.499864556572654,1.4995741844177246,4.1666669845581055,20.906960920854047
cbp,0,13,324.25281524658203,152.27975845336914,2.1366904576619468,1.4998656709988911,1.49996613462766,3.935185432434082,22.209210872650146
cbp,0,14,263.2842712402344,132.0106769908558,2.0041443434628574,3.0004203753037886,1.9988380670547485,4.1666669845581055,22.681143500588156
cbp,0,15,291.9693157489483,143.97037212665265,2.0350524278787465,2.499954315332266,1.5003255605697632,4.1666669845581055,22.356331751896786
cbp,0,16,286.8592224121094,135.13701698996803,2.1323284886100073,2.0004097006537696,2.4994770830327813,4.482323343103582,22.787594361738726
cbp,0,17,298.3371047973633,142.35691706339517,2.106064180533091,2.49918923775355,1.499798725048701,4.1666669845581055,23.614362716674805
cbp,0,18,321.1765812465123,151.9449223109654,2.1186948844364712,1.4998750686645508,1.9990659952163696,4.861111164093018,22.030778884887695
cbp,0,19,273.0807917668269,131.052487886869,2.0919348826775184,3.4997903933891883,1.4995504984488854,3.8461540662325344,22.728636814997746
cbp,0,20,275.1373651677912,135.25629771839488,2.044521136717363,2.9997309771451084,2.0004656965082344,5.113636493682861,21.992760398171164
cbp,0,21,273.9624568394252,134.13678196498327,2.052044289452689,2.998983212879726,2.499471460069929,4.21627014023917,21.406266484941757
cbp,0,22,353.33634532581675,163.8783097700639,2.161999919197776,1.5002099709077314,1.5004332932558926,4.1666669845581055,21.410828850486062
